                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0448,                 2.6847,                 1.5454,                0.66398,                0.69142,                0.73356,                0.36273,                 1.6321,                 1.3794,                 1.3638,              0.0033264,              0.0033264,              0.0033264
                      2,                 1.9131,                  1.608,                   1.46,                0.69658,                0.60393,                0.69531,                0.37124,                 1.5991,                 1.4312,                 1.2953,              0.0066268,              0.0066268,              0.0066268
                      3,                 1.9705,                 1.7249,                 1.5073,                0.59339,                 0.4298,                0.46977,                0.21637,                 1.8067,                 2.1028,                 1.5177,              0.0098941,              0.0098941,              0.0098941
                      4,                 2.0579,                 1.8184,                 1.5627,                0.64872,                0.59431,                0.63449,                0.29942,                 1.7425,                 1.8107,                 1.4902,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.035,                 1.7299,                  1.572,                0.67408,                0.59407,                0.62868,                0.30938,                  1.728,                  2.232,                  1.483,               0.009802,               0.009802,               0.009802
                      6,                 2.0119,                 1.7017,                 1.5782,                0.78208,                0.51424,                0.64045,                 0.3052,                 1.7912,                 2.5808,                 1.5038,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9973,                 1.6536,                 1.5672,                0.73812,                0.58088,                0.67429,                  0.342,                   1.71,                 1.9072,                 1.4662,               0.009703,               0.009703,               0.009703
                      8,                 1.9642,                 1.6039,                 1.5292,                0.76646,                0.64989,                0.72174,                0.35286,                 1.6853,                 1.4412,                 1.4685,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9524,                 1.5388,                 1.5472,                0.77013,                0.64991,                  0.723,                0.35962,                 1.6796,                  1.627,                 1.4577,               0.009604,               0.009604,               0.009604
                     10,                 1.9499,                 1.5056,                 1.5465,                0.85358,                0.70493,                0.78928,                0.39237,                 1.7248,                 1.6654,                 1.5069,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9011,                 1.4752,                 1.5264,                0.82075,                0.70034,                0.78281,                0.39783,                 1.6714,                 1.2575,                 1.4569,               0.009505,               0.009505,               0.009505
                     12,                 1.9111,                 1.4266,                 1.5074,                 0.8397,                0.69744,                0.81521,                0.42343,                 1.5982,                 1.3167,                 1.4258,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8958,                 1.3984,                 1.4985,                0.75633,                0.77502,                0.81125,                0.42732,                 1.6371,                 1.3837,                 1.4434,               0.009406,               0.009406,               0.009406
                     14,                 1.8671,                 1.3811,                 1.4987,                0.82192,                0.75139,                0.78902,                0.40934,                 1.6055,                 1.5156,                 1.4168,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8449,                 1.3617,                 1.4761,                0.82951,                 0.6995,                0.78098,                0.39631,                 1.6888,                 1.3679,                 1.4581,               0.009307,               0.009307,               0.009307
                     16,                 1.8638,                 1.3584,                 1.4806,                0.82216,                0.71098,                0.81239,                0.40046,                 1.6955,                 1.2206,                 1.4834,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.8474,                 1.3377,                 1.4786,                 0.8468,                0.73295,                0.83403,                0.40093,                 1.7229,                  1.182,                 1.4705,               0.009208,               0.009208,               0.009208
                     18,                 1.8404,                 1.3377,                  1.483,                0.81818,                0.76226,                0.84222,                0.43197,                 1.6465,                 1.1184,                 1.4637,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.8361,                 1.3199,                 1.4868,                0.82661,                0.75386,                0.81998,                0.45185,                 1.5352,                 1.2086,                 1.3863,               0.009109,               0.009109,               0.009109
                     20,                 1.8339,                 1.3015,                 1.4755,                0.83102,                 0.7466,                0.80825,                0.43209,                 1.5466,                  1.176,                 1.3931,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.8088,                 1.2601,                 1.4697,                0.84841,                0.78543,                0.83958,                0.44374,                 1.5921,                 1.1858,                 1.4105,                0.00901,                0.00901,                0.00901
                     22,                 1.8155,                 1.2653,                  1.473,                0.84956,                0.78845,                0.84988,                0.46766,                 1.5768,                 1.0839,                 1.4022,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.7969,                 1.2274,                  1.453,                0.88074,                0.78817,                0.83988,                0.45761,                 1.5769,                 1.0831,                 1.3907,               0.008911,               0.008911,               0.008911
                     24,                 1.7817,                 1.2098,                 1.4419,                0.86391,                0.79252,                0.86392,                0.45757,                 1.5462,                 1.0024,                 1.3951,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.7968,                 1.2151,                 1.4508,                0.84776,                0.78512,                0.85621,                0.47785,                  1.565,                 1.0021,                 1.4112,               0.008812,               0.008812,               0.008812
                     26,                 1.7796,                 1.2144,                 1.4351,                0.87012,                 0.8047,                0.87006,                0.45889,                 1.5875,                0.98885,                 1.4203,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.7604,                  1.187,                 1.4377,                0.81989,                0.78149,                0.82514,                0.46955,                 1.5091,                 1.1454,                 1.3859,               0.008713,               0.008713,               0.008713
                     28,                 1.7494,                   1.17,                 1.4338,                0.86345,                 0.8084,                0.86057,                0.46316,                 1.5777,                 1.0399,                  1.419,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.777,                  1.161,                 1.4281,                0.87804,                0.81407,                0.87978,                0.48528,                 1.5253,                0.97892,                 1.3775,               0.008614,               0.008614,               0.008614
                     30,                 1.7336,                 1.1434,                 1.4186,                0.90175,                0.79361,                0.87278,                0.48736,                 1.5025,                0.98553,                 1.3817,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.7577,                 1.1533,                 1.4148,                0.88568,                0.83912,                0.88506,                0.48703,                 1.5402,                0.98229,                 1.3924,               0.008515,               0.008515,               0.008515
                     32,                 1.7187,                 1.1177,                 1.4045,                0.83451,                 0.8087,                0.87173,                0.46908,                 1.5885,                0.95914,                 1.4306,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.7157,                 1.1168,                 1.4125,                0.86688,                0.81787,                0.86704,                0.47412,                 1.5403,                 0.9948,                 1.4103,               0.008416,               0.008416,               0.008416
                     34,                  1.698,                 1.0991,                 1.4021,                0.87455,                0.81491,                0.86021,                0.47623,                 1.5214,                0.97686,                 1.3839,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.6998,                 1.0949,                 1.3957,                 0.8893,                0.85437,                0.88985,                0.49896,                 1.5388,                0.90847,                 1.4089,               0.008317,               0.008317,               0.008317
                     36,                 1.7012,                 1.0883,                 1.4026,                0.87281,                0.81778,                0.86219,                0.47675,                 1.5251,                0.94879,                 1.3816,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.7101,                  1.083,                 1.4046,                0.85337,                0.79758,                0.86197,                0.47892,                 1.5065,                0.93233,                 1.3834,               0.008218,               0.008218,               0.008218
                     38,                  1.707,                   1.07,                 1.3935,                0.85398,                0.82152,                0.87222,                0.47757,                 1.5342,                0.96954,                    1.4,              0.0081685,              0.0081685,              0.0081685
